"line","mass_kg"
"a",32.87
"a",32.95
"a",38.86
"a",41.79
"a",33.3
"a",46.44
"a",35.91
"a",34.28
"a",39.68
"a",42.44
"a",39.71
"a",45.7
"a",39.24
"a",37.87
"a",39.89
"a",36.63
"a",32.23
"a",37.92
"a",43.67
"a",36.21
"a",39.13
"a",46.79
"a",32.21
"a",45
"a",39.01
"a",37.62
"b",34.65
"b",38.01
"b",38.17
"b",38.62
"b",37.15
"b",38.6
"b",38.15
"b",38.13
"b",37.2
"b",33.25
"b",35.26
"b",30.24
"b",43.06
"b",28.26
"b",39.68
"b",41.83
"b",36.34
"b",45.05
"b",32.3
"b",39.92
"b",38.29
"b",35.45
"b",37.85
"b",40.87
"c",33.87
"c",35.69
"c",42.81
"c",36.81
"c",38.48
"c",38.26
"c",36.67
"c",32.82
"c",40.1
"c",38.84
"c",36.96
"c",42.14
"c",34.99
"c",38.46
"c",32.09
"c",43.34
"c",36.78
"c",37.68
"c",31.53
"c",35.83
"c",42.42
"c",33.69
"c",40.5
"c",31.27
"c",35.61
"c",28.7
"c",33.26
