Bee_ID,Maternal_colony,Weight,Submersion,Duration,Tx,Time,Survival
A01,B,805,ctl,N/A,ctl,1,1
A01,B,805,ctl,N/A,ctl,4,1
A01,B,805,ctl,N/A,ctl,8,1
B70,B,886,floating,24,floating_24,1,1
B70,B,886,floating,24,floating_24,4,1
B70,B,886,floating,24,floating_24,8,1
B71,B,643,floating,7,floating_7,1,1
B71,B,643,floating,7,floating_7,4,1
B71,B,643,floating,7,floating_7,8,1
B72,B,899,floating,7,floating_7,1,1
B72,B,899,floating,7,floating_7,4,1
B72,B,899,floating,7,floating_7,8,1
B73,B,839,floating,24,floating_24,1,1
B73,B,839,floating,24,floating_24,4,1
B73,B,839,floating,24,floating_24,8,1
B74,B,660,underwater,24,underwater_24,1,1
B74,B,660,underwater,24,underwater_24,4,1
B74,B,660,underwater,24,underwater_24,8,1
B75,B,852,underwater,24,underwater_24,1,1
B75,B,852,underwater,24,underwater_24,4,1
B75,B,852,underwater,24,underwater_24,8,1
B76,B,835,ctl,N/A,ctl,1,1
B76,B,835,ctl,N/A,ctl,4,1
B76,B,835,ctl,N/A,ctl,8,1
B77,B,879,underwater,24,underwater_24,1,1
B77,B,879,underwater,24,underwater_24,4,1
B77,B,879,underwater,24,underwater_24,8,1
B78,B,857,underwater,8,underwater_8,1,1
B78,B,857,underwater,8,underwater_8,4,1
B78,B,857,underwater,8,underwater_8,8,1
B79,B,827,floating,8,floating_8,1,1
B79,B,827,floating,8,floating_8,4,1
B79,B,827,floating,8,floating_8,8,1
B80,B,887,floating,8,floating_8,1,1
B80,B,887,floating,8,floating_8,4,1
B80,B,887,floating,8,floating_8,8,1
B81,B,945,underwater,7,underwater_7,1,1
B81,B,945,underwater,7,underwater_7,4,1
B81,B,945,underwater,7,underwater_7,8,0
B82,B,826,ctl,N/A,ctl,1,1
B82,B,826,ctl,N/A,ctl,4,1
B82,B,826,ctl,N/A,ctl,8,1
B83,B,913,ctl,N/A,ctl,1,1
B83,B,913,ctl,N/A,ctl,4,1
B83,B,913,ctl,N/A,ctl,8,1
B84,B,959,ctl,N/A,ctl,1,1
B84,B,959,ctl,N/A,ctl,4,1
B84,B,959,ctl,N/A,ctl,8,1
B85,B,834,underwater,8,underwater_8,1,1
B85,B,834,underwater,8,underwater_8,4,1
B85,B,834,underwater,8,underwater_8,8,1
B86,B,783,underwater,7,underwater_7,1,1
B86,B,783,underwater,7,underwater_7,4,1
B86,B,783,underwater,7,underwater_7,8,1
C14,C,773,ctl,N/A,ctl,1,1
C14,C,773,ctl,N/A,ctl,4,1
C14,C,773,ctl,N/A,ctl,8,1
C15,C,696,ctl,N/A,ctl,1,1
C15,C,696,ctl,N/A,ctl,4,1
C15,C,696,ctl,N/A,ctl,8,1
C22,C,719,underwater,24,underwater_24,1,1
C22,C,719,underwater,24,underwater_24,4,1
C22,C,719,underwater,24,underwater_24,8,1
C23,C,793,ctl,N/A,ctl,1,1
C23,C,793,ctl,N/A,ctl,4,1
C23,C,793,ctl,N/A,ctl,8,1
C25,C,579,ctl,N/A,ctl,1,1
C25,C,579,ctl,N/A,ctl,4,0
C25,C,579,ctl,N/A,ctl,8,0
C28,C,814,underwater,24,underwater_24,1,1
C28,C,814,underwater,24,underwater_24,4,1
C28,C,814,underwater,24,underwater_24,8,1
C30,C,706,ctl,N/A,ctl,1,1
C30,C,706,ctl,N/A,ctl,4,1
C30,C,706,ctl,N/A,ctl,8,1
C33,C,727,underwater,8,underwater_8,1,1
C33,C,727,underwater,8,underwater_8,4,1
C33,C,727,underwater,8,underwater_8,8,1
C34,C,763,underwater,8,underwater_8,1,1
C34,C,763,underwater,8,underwater_8,4,1
C34,C,763,underwater,8,underwater_8,8,1
C35,C,757,floating,7,floating_7,1,1
C35,C,757,floating,7,floating_7,4,1
C35,C,757,floating,7,floating_7,8,1
C36,C,606,floating,7,floating_7,1,1
C36,C,606,floating,7,floating_7,4,1
C36,C,606,floating,7,floating_7,8,1
C37,C,699,floating,7,floating_7,1,1
C37,C,699,floating,7,floating_7,4,1
C37,C,699,floating,7,floating_7,8,1
C38,C,781,floating,24,floating_24,1,1
C38,C,781,floating,24,floating_24,4,1
C38,C,781,floating,24,floating_24,8,1
C39,C,720,floating,24,floating_24,1,1
C39,C,720,floating,24,floating_24,4,1
C39,C,720,floating,24,floating_24,8,1
C40,C,688,floating,24,floating_24,1,1
C40,C,688,floating,24,floating_24,4,1
C40,C,688,floating,24,floating_24,8,1
C41,C,732,floating,7,floating_7,1,1
C41,C,732,floating,7,floating_7,4,1
C41,C,732,floating,7,floating_7,8,1
C42,C,640,underwater,8,underwater_8,1,1
C42,C,640,underwater,8,underwater_8,4,1
C42,C,640,underwater,8,underwater_8,8,1
C43,C,699,floating,8,floating_8,1,1
C43,C,699,floating,8,floating_8,4,1
C43,C,699,floating,8,floating_8,8,1
C44,C,609,floating,7,floating_7,1,0
C44,C,609,floating,7,floating_7,4,0
C44,C,609,floating,7,floating_7,8,0
C45,C,780,floating,7,floating_7,1,1
C45,C,780,floating,7,floating_7,4,1
C45,C,780,floating,7,floating_7,8,1
C46,C,863,underwater,8,underwater_8,1,1
C46,C,863,underwater,8,underwater_8,4,1
C46,C,863,underwater,8,underwater_8,8,1
C47,C,827,underwater,8,underwater_8,1,1
C47,C,827,underwater,8,underwater_8,4,1
C47,C,827,underwater,8,underwater_8,8,1
C48,C,801,underwater,8,underwater_8,1,1
C48,C,801,underwater,8,underwater_8,4,1
C48,C,801,underwater,8,underwater_8,8,1
C49,C,705,floating,24,floating_24,1,1
C49,C,705,floating,24,floating_24,4,1
C49,C,705,floating,24,floating_24,8,1
C50,C,731,floating,7,floating_7,1,0
C50,C,731,floating,7,floating_7,4,0
C50,C,731,floating,7,floating_7,8,0
C51,C,770,floating,8,floating_8,1,1
C51,C,770,floating,8,floating_8,4,1
C51,C,770,floating,8,floating_8,8,1
C52,C,702,floating,8,floating_8,1,1
C52,C,702,floating,8,floating_8,4,0
C52,C,702,floating,8,floating_8,8,0
C53,C,573,floating,8,floating_8,1,0
C53,C,573,floating,8,floating_8,4,0
C53,C,573,floating,8,floating_8,8,0
C54,C,781,floating,8,floating_8,1,1
C54,C,781,floating,8,floating_8,4,1
C54,C,781,floating,8,floating_8,8,1
C55,C,835,underwater,8,underwater_8,1,1
C55,C,835,underwater,8,underwater_8,4,1
C55,C,835,underwater,8,underwater_8,8,1
C56,C,722,floating,8,floating_8,1,1
C56,C,722,floating,8,floating_8,4,1
C56,C,722,floating,8,floating_8,8,1
C57,C,665,floating,8,floating_8,1,1
C57,C,665,floating,8,floating_8,4,1
C57,C,665,floating,8,floating_8,8,0
C58,C,735,underwater,7,underwater_7,1,0
C58,C,735,underwater,7,underwater_7,4,0
C58,C,735,underwater,7,underwater_7,8,0
C59,C,820,underwater,7,underwater_7,1,1
C59,C,820,underwater,7,underwater_7,4,1
C59,C,820,underwater,7,underwater_7,8,1
C60,C,775,underwater,7,underwater_7,1,1
C60,C,775,underwater,7,underwater_7,4,1
C60,C,775,underwater,7,underwater_7,8,1
C61,C,717,underwater,7,underwater_7,1,1
C61,C,717,underwater,7,underwater_7,4,1
C61,C,717,underwater,7,underwater_7,8,1
C62,C,753,floating,24,floating_24,1,1
C62,C,753,floating,24,floating_24,4,1
C62,C,753,floating,24,floating_24,8,1
C63,C,792,underwater,7,underwater_7,1,1
C63,C,792,underwater,7,underwater_7,4,1
C63,C,792,underwater,7,underwater_7,8,1
C64,C,813,underwater,7,underwater_7,1,1
C64,C,813,underwater,7,underwater_7,4,1
C64,C,813,underwater,7,underwater_7,8,1
C65,C,763,underwater,7,underwater_7,1,1
C65,C,763,underwater,7,underwater_7,4,1
C65,C,763,underwater,7,underwater_7,8,1
C66,C,303,underwater,24,underwater_24,1,1
C66,C,303,underwater,24,underwater_24,4,1
