spider_id,day,substrate,jnd
1,0,brown,9.963313919
1,7,brown,12.61072626
1,14,brown,9.511557667
2,0,brown,9.02718799
2,7,brown,6.819800675
2,14,brown,10.7127121
3,0,brown,4.355249151
3,7,brown,9.651594042
3,14,brown,8.236390211
4,0,brown,11.41219584
4,7,brown,9.210666512
4,14,brown,8.461254298
5,0,brown,8.057718184
5,7,brown,6.461048975
5,14,brown,4.749744188
6,0,brown,10.63201433
6,7,brown,11.57392723
6,14,brown,11.0389696
7,0,brown,12.48057151
7,7,brown,11.45866922
7,14,brown,11.19906634
16,0,brown,5.10064699
16,7,brown,1.496443738
16,14,brown,2.729633457
17,0,brown,14.75370312
17,7,brown,4.836370326
17,14,brown,5.983544558
18,0,brown,10.50606132
18,7,brown,4.893427776
18,14,brown,10.98236903
19,0,brown,10.45373864
19,7,brown,8.446741111
19,14,brown,4.639885042
20,0,brown,6.969598199
20,7,brown,6.209076244
20,14,brown,8.042423934
21,0,brown,14.89043126
21,7,brown,8.382643128
21,14,brown,11.0411347
22,0,brown,13.24641798
22,7,brown,9.996793986
22,14,brown,12.82267391
23,0,brown,14.1760441
23,7,brown,13.22664324
23,14,brown,15.07535922
8,0,green,7.724336865
8,7,green,8.082038837
8,14,green,12.15850991
9,14,green,7.115443568
10,7,green,11.22765247
10,14,green,10.9942631
11,0,green,10.27172701
11,7,green,7.237482946
11,14,green,7.22500206
12,0,green,10.6007542
12,7,green,8.633259373
12,14,green,11.33712634
13,0,green,8.863362388
13,7,green,12.14947635
13,14,green,8.752419666
14,0,green,8.622287903
14,7,green,10.18138288
14,14,green,9.652085396
15,0,green,8.775543473
15,7,green,11.7383352
15,14,green,14.60226439
24,0,green,15.42766583
24,7,green,10.35330412
24,14,green,12.77143466
25,0,green,13.08195832
25,7,green,13.43908732
25,14,green,13.24601261
26,0,green,9.735301839
26,7,green,11.05722253
26,14,green,12.00905766
27,0,green,12.12614087
27,7,green,13.22829338
27,14,green,13.52984298
28,0,green,12.9571605
28,7,green,12.08439207
28,14,green,13.55382868
29,0,green,18.58450295
29,7,green,14.52366252
29,14,green,12.75713137
30,0,green,11.24483109
30,7,green,14.28339919
30,14,green,13.13999427
