"sex","width_cm"
"male",158.58
"male",158.68
"male",166.07
"male",169.73
"male",159.12
"male",175.55
"male",162.39
"male",160.35
"male",167.1
"male",170.56
"male",167.14
"male",174.62
"male",166.55
"male",164.84
"male",167.36
"male",163.29
"male",157.79
"male",164.9
"male",172.08
"male",162.77
"male",166.41
"male",175.99
"male",157.76
"male",173.75
"male",166.26
"male",164.53
"male",160.82
"male",165.02
"male",165.21
"male",165.77
"male",163.93
"male",165.75
"male",165.18
"male",165.17
"male",164
"male",159.07
"male",161.58
"male",155.29
"male",171.33
"male",152.83
"male",167.1
"male",169.78
"female",215.92
"female",226.81
"female",210.87
"female",220.4
"female",218.37
"female",214.81
"female",217.81
"female",221.58
"female",212.84
"female",215.12
"female",224.01
"female",216.51
"female",218.6
"female",218.32
"female",216.34
"female",211.52
"female",220.63
"female",219.05
"female",216.7
"female",223.18
"female",214.24
"female",218.57
"female",210.62
"female",224.68
"female",216.47
"female",217.59
"female",209.91
"female",215.29
"unknown",52.52
"unknown",41.61
"unknown",50.13
"unknown",38.59
"unknown",44.02
"unknown",35.38
"unknown",41.07
"unknown",41.61
"unknown",43.88
"unknown",35.6
"unknown",42.01
"unknown",41.28
"unknown",51.62
"unknown",45.8
"unknown",40.09
"unknown",45.04
"unknown",47.78
"unknown",48.34
"unknown",50.88
"unknown",46.23
"unknown",45.97
"unknown",48.13
"unknown",42.11
"unknown",45.69
"unknown",52.18
"unknown",51.06
"unknown",55.3
"unknown",54.73
"unknown",40.65
"unknown",46.22
"unknown",47.44
"unknown",49.69
"unknown",39.36
"unknown",40.55
"unknown",50.93
"unknown",56.47
"unknown",54.66
"unknown",46.58
"unknown",39.01
"unknown",53.97
"unknown",37
"unknown",57.44
"unknown",48.56
"unknown",46.15
"unknown",54.25
"unknown",45.75
"unknown",48.94
"unknown",35.77
"unknown",46.44
"unknown",42.15
"unknown",48.15
"unknown",50.67
"unknown",51.53
"unknown",44.82
"unknown",54.46
"unknown",53.14
"unknown",49.6
"unknown",34.19
"unknown",35.02
"unknown",47.37
"unknown",47.48
"unknown",37.32
"unknown",51.26
