"wing_width_cm","tail_length_cm"
142.92,351.860489765268
143.41,353.477706810567
180.37,436.715008968219
198.67,484.753976494811
145.62,354.964572355255
227.76,548.079084609333
161.96,393.958234832246
151.75,367.975900136679
185.48,448.849815071791
202.78,496.312109855682
185.72,446.702728688598
223.12,538.16889759862
182.75,445.604452666733
174.21,426.504222277269
186.8,454.151163146067
166.45,405.221353330668
138.95,337.458140910622
174.51,420.410604006588
210.42,513.505160142288
163.84,402.770755869322
182.06,439.204334852617
229.96,552.00635196678
138.78,338.528124627963
218.75,529.486844709609
181.32,435.866550667148
172.65,422.244264509194
154.09,378.908546701431
175.08,429.106071607869
176.05,426.32109758582
178.86,434.016065893263
169.67,411.884777599379
178.75,430.346661404241
175.91,422.712194259386
175.83,427.002793944821
170.01,410.963176082145
145.34,351.219544504195
157.91,387.636623982634
126.47,304.123372752286
206.64,497.339589744586
114.14,280.139624270856
185.48,452.493156997718
198.92,482.920438477017
164.61,395.526610423565
219.03,535.553893270649
139.35,337.19372345699
187.01,453.123033822026
176.84,424.516664417259
159.05,382.917283647489
174.05,418.897645628341
192.92,464.858889669731
149.18,359.436766326305
160.59,389.265318956491
